"age";"Dx";"Px";"qx";"lx";"dx";"Lx";"Tx";"ex";"total"
0;124;55470;0.002345;100000;234;99805;8074067;80.74;80.74
1;12;58701;0.000204;99766;20;99755;7974262;79.93;80.93
2;5;59684;8.4e-05;99745;8;99741;7874507;78.95;80.95
3;8;58922;0.000136;99737;14;99730;7774766;77.95;80.95
4;2;55363;8.8e-05;99723;9;99719;7675036;76.96;80.96
5;8;51429;9.7e-05;99714;10;99710;7575317;75.97;80.97
6;3;48902;9.1e-05;99705;9;99700;7475607;74.98;80.98
7;4;46727;7.9e-05;99696;8;99692;7375907;73.98;80.98
8;3;45671;3.8e-05;99688;4;99686;7276215;72.99;80.99
9;0;44952;3.6e-05;99684;4;99682;7176529;71.99;80.99
10;2;44179;5.5e-05;99680;5;99678;7076847;71;81
11;4;43688;7.5e-05;99675;8;99671;6977170;70;81
12;7;43770;0.000133;99667;13;99661;6877498;69;81
13;5;44028;0.000172;99654;17;99646;6777838;68.01;81.01
14;11;44248;0.000199;99637;20;99627;6678192;67.03;81.03
15;10;45575;0.000233;99617;23;99606;6578565;66.04;81.04
16;12;49688;0.000261;99594;26;99581;6478959;65.05;81.05
17;16;55949;0.000253;99568;25;99555;6379378;64.07;81.07
18;14;59817;0.000247;99543;25;99530;6279823;63.09;81.09
19;14;61729;0.000206;99518;20;99508;6180292;62.1;81.1
20;12;64225;0.000197;99498;20;99488;6080784;61.11;81.11
21;12;64914;0.000267;99478;27;99465;5981296;60.13;81.13
22;24;66139;0.000318;99452;32;99436;5881832;59.14;81.14
23;29;66923;0.000337;99420;34;99403;5782396;58.16;81.16
24;17;67074;0.000314;99386;31;99371;5682993;57.18;81.18
25;15;68520;0.000259;99355;26;99342;5583622;56.2;81.2
26;17;69584;0.000228;99330;23;99318;5484279;55.21;81.21
27;19;69911;0.000235;99307;23;99295;5384961;54.23;81.23
28;17;71156;0.000261;99284;26;99271;5285666;53.24;81.24
29;17;72366;0.000267;99258;26;99244;5186395;52.25;81.25
30;27;74571;0.000314;99231;31;99216;5087151;51.27;81.27
31;25;80662;0.000356;99200;35;99182;4987935;50.28;81.28
32;39;86353;0.000392;99165;39;99145;4888752;49.3;81.3
33;33;88464;0.000419;99126;42;99105;4789607;48.32;81.32
34;42;90309;0.000458;99084;45;99062;4690502;47.34;81.34
35;48;92402;0.000502;99039;50;99014;4591440;46.36;81.36
36;50;93707;0.000568;98989;56;98961;4492426;45.38;81.38
37;60;90773;0.000605;98933;60;98903;4393465;44.41;81.41
38;54;83626;0.000688;98873;68;98839;4294562;43.43;81.43
39;57;77397;0.000761;98805;75;98768;4195722;42.46;81.46
40;68;73830;0.000852;98730;84;98688;4096955;41.5;81.5
41;63;70838;0.000907;98646;89;98601;3998267;40.53;81.53
42;73;67836;0.001099;98557;108;98502;3899665;39.57;81.57
43;71;66300;0.001183;98448;116;98390;3801163;38.61;81.61
44;110;66896;0.001336;98332;131;98266;3702773;37.66;81.66
45;83;68706;0.001511;98200;148;98126;3604507;36.71;81.71
46;122;71630;0.001608;98052;158;97973;3506381;35.76;81.76
47;132;72135;0.001691;97894;166;97811;3408408;34.82;81.82
48;113;67636;0.001825;97729;178;97640;3310596;33.88;81.88
49;132;63421;0.001988;97550;194;97453;3212957;32.94;81.94
50;127;62132;0.002234;97356;217;97248;3115504;32;82
51;172;61172;0.002596;97139;252;97013;3018256;31.07;82.07
52;178;63839;0.002848;96887;276;96749;2921243;30.15;82.15
53;222;69150;0.003167;96611;306;96458;2824494;29.24;82.24
54;242;73097;0.00338;96305;326;96142;2728037;28.33;82.33
55;287;74979;0.003731;95979;358;95800;2631895;27.42;82.42
56;314;75834;0.00423;95621;404;95419;2536095;26.52;82.52
57;361;76330;0.004833;95217;460;94987;2440676;25.63;82.63
58;436;77512;0.005315;94757;504;94505;2345689;24.75;82.75
59;461;78817;0.005891;94253;555;93975;2251184;23.88;82.88
60;485;78412;0.006394;93698;599;93398;2157209;23.02;83.02
61;546;76613;0.006857;93098;638;92779;2063811;22.17;83.17
62;576;76763;0.007472;92460;691;92115;1971032;21.32;83.32
63;649;79306;0.008341;91769;765;91386;1878917;20.47;83.47
64;731;79602;0.009246;91004;841;90583;1787531;19.64;83.64
65;754;70776;0.010244;90162;924;89701;1696948;18.82;83.82
66;725;64518;0.011122;89239;993;88742;1607247;18.01;84.01
67;780;64464;0.012234;88246;1080;87706;1518505;17.21;84.21
68;794;59450;0.013662;87167;1191;86571;1430798;16.41;84.41
69;855;54178;0.015261;85976;1312;85320;1344227;15.63;84.63
70;901;51937;0.016829;84664;1425;83951;1258907;14.87;84.87
71;874;48132;0.018358;83239;1528;82475;1174956;14.12;85.12
72;882;44072;0.019757;81711;1614;80904;1092481;13.37;85.37
73;922;41380;0.022046;80096;1766;79213;1011578;12.63;85.63
74;981;39496;0.025073;78331;1964;77349;932365;11.9;85.9
75;1132;38563;0.028289;76367;2160;75286;855016;11.2;86.2
76;1233;38075;0.031497;74206;2337;73038;779730;10.51;86.51
77;1337;37524;0.03569;71869;2565;70586;706692;9.83;86.83
78;1499;37537;0.040594;69304;2813;67897;636106;9.18;87.18
79;1795;37032;0.046779;66491;3110;64935;568208;8.55;87.55
80;1974;35788;0.053862;63380;3414;61673;503273;7.94;87.94
81;2147;33339;0.061754;59966;3703;58115;441600;7.36;88.36
82;2253;30420;0.070191;56263;3949;54289;383485;6.82;88.82
83;2374;27775;0.079582;52314;4163;50232;329196;6.29;89.29
84;2402;25127;0.09025;48151;4346;45978;278964;5.79;89.79
85;2424;22600;0.10255;43805;4492;41559;232986;5.32;90.32
86;2483;20189;0.116635;39313;4585;37020;191427;4.87;90.87
87;2461;17701;0.132579;34728;4604;32426;154406;4.45;91.45
88;2340;14958;0.150582;30124;4536;27855;121981;4.05;92.05
89;2153;12016;0.170847;25587;4372;23402;94125;3.68;92.68
90;1803;8960;0.193584;21216;4107;19162;70724;3.33;93.33
91;1429;5976;0.218991;17109;3747;15236;51561;3.01;94.01
92;727;3338;0.247256;13362;3304;11710;36326;2.72;94.72
93;517;1793;0.278536;10058;2802;8657;24616;2.45;95.45
94;406;1486;0.312946;7257;2271;6121;15958;2.2;96.2
95;397;1224;0.350538;4986;1748;4112;9837;1.97;96.97
96;434;1184;0.391282;3238;1267;2605;5725;1.77;97.77
97;327;872;0.435039;1971;857;1542;3120;1.58;98.58
98;219;615;0.481541;1114;536;845;1578;1.42;99.42
99;132;354;0.530362;577;306;424;733;1.27;100.27
100;87;231;0.580909;271;158;192;308;1.14;101.14
101;60;95;0.632409;114;72;78;116;1.02;102.02
102;28;66;0.683919;42;29;27;38;0.92;102.92
103;11;20;0.734353;13;10;8;11;0.82;103.82
104;13;28;0.782539;4;3;2;3;0.72;104.72
105;10;20;1;1;1;0;0;0.5;105.5
